Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Vanguard,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,47.8,76.3,97.4,79.1,85.5,103.7,102.2,117.3,90.5,81.3,90.02,103.26,94.99,75.18,95.5,,,,,,,,,,,,,16,88.46,16.23,0.183419265,537
Rampart,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2,110.6,75,84.5,105.4,104.6,112.6,88.6,,83.86,99.29,96.22,80.43,96.97,,89.46,,74.7,69.9,74.26,89.07,53.59,64.94,,,,20,86.86,15.62,0.179820662,453
BigSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,81.5,89.2,109.9,96.5,105.2,99.8,72.5,93.82,113.36,94.13,62.12,94.43,,,,,,,,,,,,,13,93.23,14.36,0.154001574,259
NuSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,79.3,108.4,104.8,110.6,97.4,81.7,95.37,136.2,95.39,65.8,80.56,,85.17,,,,,,,,,,,13,94.31,18,0.190891444,428
Paul,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2,117.9,109.6,86.8,107.2,131.5,104,59.81,,,,,,,,,,,,,,8,103.5,21.68,0.209445355,442
Yellowstone,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,109.6,130.7,113.1,99.4,117.3,,116.8,,91.4,79.3,94.5,108.4,84.43,95.11,,137.25,142.37,15,107.8,18.77,0.174134551,555
Genou,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,90.13,113.8,93.66,71.05,96.68,,96.67,,47.9,68.14,78.4,90.43,40.9,,,,,12,80.6,21.05,0.261205216,314
MT1159CL,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.83,89.24,68.18,96.69,,,,,,,,,,,,,4,85.74,12.25,0.142860966,
Norris,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.16,77.36,,,93.23,,59.2,77.22,85.84,,,,,,,6,83.34,16.29,0.195519418,423
Hyalite,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6,70.5,,,86.42,,66.2,,,,,,,,,4,83.93,21,0.250197803,
Bynum,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85,98.49,,79.71,,68.4,71.26,81.39,,,,,,,6,79.02,10.73,0.135782369,266
Willow Creek,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44,62.83,,,,,,,,,,,,,2,67.64,6.8,0.100470114,
Decade,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02,,96.16,,59.6,78.48,89.02,94.74,46.57,51.08,42.71,129.32,127.44,11,84.38,31.44,0.372623364,292
Judee,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.86,,89.1,71.8,81.75,98.55,64.64,68.34,89.98,128.15,122.47,10,91.86,21.74,0.236628118,337
Bearpaw,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.28,,63.2,74.16,82.7,92.91,41.96,46.86,46,116.09,,9,73.02,25.57,0.350225155,
Colter,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,74.97,87.79,101.72,87,89.27,,,,6,89.48,9.09,0.101603941,
WB3768,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2,78.03,92.7,105.3,79.33,82.81,,,,6,87.4,10.24,0.117129136,
Northern,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7,78.56,90.9,97.74,83.12,84.13,90.4,147.82,145.1,9,100.61,26.56,0.26403755,425
Warhorse,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7,73.3,87.73,91.45,69.79,77.5,93.44,120.67,118.93,9,91.28,18.12,0.198526729,
SY Clearstone 2CL,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.73,81.76,106.4,82.6,90.13,98.86,142.43,144.54,8,103.56,26.16,0.252652585,
Spur,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,91.3,104.12,,,,,,3,94.84,8.11,0.085529797,
Loma,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.86,89.9,92.04,95.85,139.74,128.68,6,108.35,20.89,0.19279272,
FourOsix,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.26,104.52,134.38,128.6,4,113.94,21.45,0.188298046,
Flathead,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.62,130.49,134.93,3,128.01,8.43,0.065865558,
Bobcat,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.16,134.51,119.52,3,115.06,22.02,0.191338472,261
Ray,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.46,138.48,138.8,3,128.25,18,0.140368676,
MTF1435,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.83,117.75,,2,109.29,11.96,0.109472474,
StandClear CLP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.31,127.68,2,131.49,5.4,0.041046586,
