Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Rampart,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,31.9,59.8,66.3,53.4,,42.5,,40.2,45.83,34.9,44.9,60.43,37.83,40.33,48.64,37.5,28.49,45.18,44.21,45.1,48.61,,,,20,45.14,9.5,0.21057488,453
BigSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,46.8,63.7,74.3,55.5,,46.5,48.5,32.9,49.5,34.42,58.9,62.58,,,,,,,,,,,,,12,52.31,11.9,0.227584236,259
NuSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,64.6,68.1,62.7,,54.4,47.2,37.6,53.3,38.03,57.7,71.03,47.41,45.08,,,,,,,,,,,13,52.86,11.41,0.215947984,428
Paul,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,44,40.2,55.3,41.12,62.5,,,,,,,,,,,,,,6,49.17,8.88,0.18069844,442
Yellowstone,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,46.2,60.2,46.5,59.9,80.6,57.7,51.1,70.1,51.9,35.5,66.35,62.1,59.2,63.3,,69.7,71.94,17,59.01,11.21,0.189958629,555
Genou,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,35.6,51.87,33.88,51.9,72.43,41.74,42.34,55.9,39.9,28.12,47.33,47.68,44.8,,,,,14,45.59,10.79,0.236738078,314
MT1159CL,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,33.51,45.6,66.3,,,,,,,,,,,,,4,48.43,13.54,0.279586668,
Norris,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.67,52.5,,47.28,43.92,56.32,41.6,31.27,52.78,,,,,,,8,45.79,8.15,0.178000751,423
Hyalite,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.57,46.8,,47.38,44.33,59.41,41.7,,,,,,,,,6,46.87,6.61,0.141148765,
Bynum,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,66.8,34.96,35.89,44.65,34.8,26.23,38.53,,,,,,,8,40.66,12.01,0.295305333,266
Willow Creek,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,48.2,,,,,,,,,,,,,2,47,1.7,0.03610758,
Decade,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,48.41,46.5,60.61,42.9,31.89,61.25,57.39,55.27,55.01,58.95,60,71.96,13,56.03,11.99,0.214024153,292
Judee,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09,38.3,54,43.6,30.4,,49.96,42.12,48.74,60.21,57.1,69.65,11,48.65,11.14,0.229043119,337
Bearpaw,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.65,58.09,43.5,31.98,58.24,49.63,57.9,55.04,58.91,61.7,,10,51.66,9.7,0.18772571,
Colter,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,36.3,59.75,62.6,57.92,67.5,,,,6,56.25,10.84,0.192813635,
