Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
NuSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,64.5,63.8,,46.9,68.82,52.64,51.2,57.2,50.51,33.1,,,,,,,,,,,,10,53.83,10.35,0.192303655,428
Paul,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,54.12,54,58.5,,,,,,,,,,,,,,4,60.16,9.46,0.157334638,442
Yellowstone,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1,52.6,56.87,69.3,24,,62.1,67.5,63.7,,,,63.7,,72.7,73.3,11,61.26,13.86,0.226268506,555
Genou,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,61.15,48.68,40.97,52.51,55.05,15.75,,48.87,43.5,53.4,,,,,,,,10,45.21,13.14,0.290734018,314
MT1159CL,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.25,19.86,41.7,46.11,,,,,,,,,,,,,4,37.98,12.21,0.32160368,
Norris,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.35,52.08,,15.28,,56.13,59.6,54.7,,,,,,,,6,47.02,16.37,0.348190828,423
Hyalite,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76,53.11,,17.25,,58.77,58.7,,,,,,,,,5,46.32,17.36,0.374879736,
Bynum,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.37,55.13,8.09,,42.64,35.6,48.3,,,,,,,,6,38.86,16.41,0.422250822,266
Willow Creek,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,38.3,,,,,,,,,,,,,2,42.55,6.01,0.141255174,
Decade,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,29.4,,60.17,65,55.3,,,,57.38,50.65,73.4,68.8,9,59.04,13.48,0.22834616,292
Judee,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.93,,52.02,44.4,51.9,,,,53.7,13.68,66.7,81.07,8,47.55,22.87,0.480987437,337
Bearpaw,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44,54.6,60.3,,,,43.26,35.48,72.9,,6,52.66,13.16,0.249852225,
Colter,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,62.5,,,,65.59,,,,3,64.86,2.1,0.032324456,
WB3768,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,59.7,,,,55.91,,,,3,59.94,4.15,0.069240825,
Northern,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,63.5,,,,58.74,36.67,83.7,86.63,6,66.24,18.24,0.275296748,425
Warhorse,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09,59.5,50.9,,,,46.34,32.55,69.1,53.37,7,52.41,11.33,0.216229364,
SY Clearstone 2CL,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,,,,62.09,41.27,65.1,73.73,5,61.02,11.97,0.19615124,
Spur,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,,,,,,,,1,60.1,,,
Loma,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.94,36.49,72,71.77,4,56.8,17.93,0.315723083,
FourOsix,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04,41.07,68,64.63,4,58.44,12.03,0.205834851,
Flathead,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.29,57.2,66.6,3,54.36,13.87,0.255212862,
Bobcat,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84,64.3,65.2,3,55.78,15.54,0.278648463,261
Ray,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54,71.9,64.6,3,60.01,14.73,0.245376235,
MTF1435,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42,51.2,,2,46.81,6.21,0.132629727,
StandClear CLP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,79.33,2,74.57,6.74,0.09040346,
