Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Erhardt,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.98 ,61.50 ,,14.20 ,55.20 ,74.10 ,43.70 ,46.90 ,45.50 ,52.60 ,52.30 ,21.00 ,32.10 ,26.19 ,,,,,,,,,,,,,,,,,13,43.25 ,16.86 ,0.389700074,296
McGuire,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.30 ,,,11.50 ,48.70 ,63.90 ,43.60 ,39.10 ,40.50 ,63.80 ,57.20 ,19.40 ,32.90 ,,,,,,,,,,,,,,,,,,11,41.90 ,16.65 ,0.39725822,383
Vanguard,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50 ,48.40 ,57.20 ,40.60 ,48.30 ,44.80 ,48.70 ,52.40 ,22.50 ,33.70 ,32.12 ,61.38 ,62.30 ,52.37 ,57.70 ,52.87 ,,,,,,,,,,,,16,46.62 ,11.75 ,0.252167827,537
Rampart,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.30 ,66.10 ,36.40 ,45.20 ,48.20 ,51.90 ,55.80 ,22.40 ,37.20 ,30.53 ,63.26 ,59.20 ,49.67 ,54.96 ,53.80 ,39.40 ,58.70 ,,46.64 ,66.71 ,56.47 ,60.10 ,81.13 ,,,,22,51.50 ,13.19 ,0.256128445,453
BigSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00 ,50.70 ,45.50 ,48.30 ,64.70 ,54.50 ,21.10 ,33.70 ,27.76 ,66.35 ,47.68 ,59.08 ,51.58 ,,,,,,,,,,,,,13,50.23 ,16.42 ,0.32697031,259
NuSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.90 ,52.70 ,47.80 ,61.10 ,59.70 ,25.30 ,39.30 ,28.37 ,63.02 ,49.31 ,55.77 ,53.57 ,57.21 ,40.90 ,,,,,,,,,,,14,48.93 ,11.63 ,0.237642288,428
Paul,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.40 ,21.80 ,33.80 ,34.00 ,65.39 ,58.24 ,56.80 ,,,,,,,,,,,,,,7,47.92 ,17.66 ,0.368566459,442
Yellowstone,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.40 ,31.16 ,70.40 ,59.19 ,63.70 ,57.36 ,69.07 ,40.60 ,73.30 ,,52.06 ,66.89 ,62.05 ,65.15 ,103.60 ,,61.93 ,54.85 ,16,60.67 ,16.51 ,0.272054193,555
Genou,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.30 ,30.15 ,68.40 ,62.70 ,55.92 ,56.67 ,60.87 ,45.10 ,61.73 ,,43.45 ,70.62 ,57.30 ,58.35 ,,,,,13,54.27 ,12.43 ,0.228977014,314
MT1159CL,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04 ,48.24 ,45.44 ,56.50 ,,,,,,,,,,,,,4,52.56 ,6.85 ,0.1303689,
