"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-03","0","31","6","0","16","6.5","0.72","54","7631","1.59","19.1","25.8","36.2","15.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-04","0","9","3","15","9","4.0","0.58","78","8201","1.99","8.8","46.0","59.5","32.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-05","0","1","2","32","2","4.0","2.06","74","8630","6.63","5.5","51.1","62.5","39.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-06","18","0","0","34","0","0.0","0.36","87","8800","2.02","0.0","59.9","73.2","46.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-07","88","0","0","37","0","0.0","0.43","92","73","1.28","0.0","64.9","79.8","50.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-08","165","0","0","37","0","0.0","0.58","90","124","1.17","0.0","65.9","81.0","50.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-09","166","0","0","30","0","0.0","0.21","85","321","0.56","0.0","58.5","74.5","42.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-10","166","0","0","21","0","0.0","0.16","76","825","0.21","0.0","48.7","63.7","33.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-11","166","16",,"-10","10",,"0.39","54","1938","1.30",,"27.9","38.4","17.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1952-12","166","31","3","-5","9","2.0","0.14","47","3162","0.41","6.2","25.5","35.1","15.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-01","0","13","2","-6","10","2.6","0.23","57","4071","0.65","5.2","34.2","43.5","24.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-02","0","22","7","0","9","4.5","0.17","55","5123","1.05","18.0","27.4","36.5","18.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-03","0","13","2","3","7","5.0","0.44","68","5994","1.04","8.5","36.0","46.9","25.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-04","0","5",,"12","4",,"0.55","70","6759","2.05",,"38.5","48.4","28.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-05","0","0",,"23","0",,"0.69","79","7333","3.23",,"46.5","57.5","35.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-06","15","0","0","35","0","0.0","1.49","85","7564","3.13","0.0","57.8","70.4","45.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-07","149","0","0","44","0","0.0","0.60","94","19","0.63","0.0","68.7","84.0","53.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-08","251","0","0","34","0","0.0","0.16","94","51","0.42","0.0","67.3","83.0","51.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-09","262","0","0","31","0","0.0","0.64","87","228","1.00","0.0","59.4","75.2","43.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-10","262","3","0","20","11","0.0","1.07","78","706","1.39","0.0","49.6","62.7","36.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-11","262","12","3","3","10","6.0","0.55","64","1497","1.13","12.0","38.7","48.5","28.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1953-12","262","19","3","7","5","1.5","0.23","47","2625","0.68","4.5","28.6","37.2","20.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-01","0","20","7","-25","11","10.0","0.51","51","3992","1.10","27.0","20.9","31.0","10.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-02","0","17","1","10","4","1.0","0.06","55","4840","0.13","2.0","34.7","44.0","25.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-03","0","24","4","-10","13","12.0","0.72","59","6041","1.20","16.0","26.3","36.1","16.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-04","0","1","0","20","1","0.0","0.28","69","6673","0.44","0.0","43.9","56.1","31.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-05","13","0","0","16","0","0.0","0.67","89","7100","1.70","0.0","51.7","64.1","39.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-06","33","0","0","32","0","0.0","1.18","89","7405","3.70","0.0","55.5","67.1","43.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-07","189","0","0","38","0","0.0","0.15","93","22","0.66","0.0","69.3","84.5","54.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-08","239","0","0","37","0","0.0","0.55","93","104","1.32","0.0","64.0","78.5","49.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-09","250","0","1","29","0","1.0","0.27","83","370","1.22","1.5","56.5","70.4","42.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-10","250",,"2","22",,"2.0","0.27","75","983","0.89","3.5","44.3","56.9","31.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-11","250",,"0","3",,"0.0","0.03","64","1710","0.07","0.0","40.8","51.6","29.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1954-12","250","25","2","-1","5","4.0","0.14","53","2950","0.28","6.8","25.0","35.4","14.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-01","0","31","3","-8","6","3.5","0.18","40","4362","0.54","7.3","19.4","27.9","11.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-02","0","26","7","-11","12","5.0","0.24","46","5639","1.01","21.7","19.4","29.6","9.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-03","0","29","10","-23","13","4.0","0.37","57","6973","1.34","22.1","21.9","33.8","10.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-04","0","20","6","12","24","14.0","1.10","70","7804","3.51","37.0","37.3","47.4","27.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-05","0","1","0","29","1","0.0","0.56","78","8260","2.70","0.0","50.3","62.5","38.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-06","13","0","0","35","0","0.0","0.73","84","8515","2.23","0.0","56.9","68.1","45.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-07","121","0","0","32","0","0.0","0.29","93","101","1.55","0.0","65.2","78.2","52.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-08","253","0","0","45","0","0.0","0.06","94","111","0.12","0.0","68.9","84.4","53.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-09","286","0","0","27","0","0.0","0.48","89","433","1.11","0.0","55.4","68.2","42.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-10","289","0","0","17","0","0.0","0.63","79","976","2.04","0.0","47.6","60.6","34.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-11","289","18","5","-26","4","2.0","0.15","56","2226","0.78","6.5","23.3","32.7","13.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1955-12","289","29","3","-18","14","7.5","0.88","54","3548","2.17","19.7","22.4","31.9","12.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-01","0","31","5","-17","16","3.0","0.20","52","4871","0.73","10.8","20.9","31.3","10.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-02","0","29","1","-29","17","1.0","0.11","51","6136","0.16","2.0","19.8","30.5","9.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-03","0","24","5","-19","15","6.0","0.60","62","7207","1.27","10.9","30.5","41.2","19.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-04","0","2","2","19","3","3.0","0.38","68","7927","1.66","6.0","41.0","51.5","30.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-05","0","0","0","26","0","0.0","0.60","79","8333","2.06","0.0","51.9","62.3","41.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-06","33","0","0","39","0","0.0","0.41","87","8452","1.06","0.0","62.1","76.3","48.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-07","151","0","0","41","0","0.0","0.18","89","54","0.45","0.0","67.0","80.9","53.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-08","194","0","0","37","0","0.0","0.32","89","174","0.95","0.0","62.5","76.2","48.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-09","203","0","0","31","0","0.0","0.36","87","368","0.97","0.0","58.8","73.8","43.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-10","203",,,"16",,,"0.36","74","948","1.11",,"46.3","58.9","33.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-11","203","13","3","5","6","1.5","0.23","64","1965","0.52","3.5","31.1","41.5","20.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1956-12","203",,"3","-16",,"2.5","0.10","59","3087","0.29","6.0","28.8","39.4","18.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-01","0","29","5","-30","10","4.5","0.22","41","4811","0.74","13.5","9.4","20.8","-2.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-02","0","23","2","-10","10","1.1","0.07","54","5900","0.21","4.4","26.1","36.2","16.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-03","0","13","5","7","5","3.6","0.28","56","6905","1.16","12.9","32.6","42.5","22.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-04","0",,,"12",,,"0.39","74","7651","1.27",,"40.1","51.2","29.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-05","0","1","0","31","2","0.0","1.01","76","8043","2.81","0.0","52.4","63.8","40.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-06","12","0","0","37","0","0.0","1.13","86","8249","4.68","0.0","58.5","71.1","46.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-07","91","0","0","39","0","0.0","0.61","88","33","1.52","0.0","66.5","81.8","51.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-08","185","0","0","42","0","0.0","0.30","93","99","0.70","0.0","65.9","81.6","50.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-09","203","0","0","28","0","0.0","0.35","89","370","0.82","0.0","56.6","71.1","42.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-10","208","0","0","14","0","0.5","0.67","82","1030","1.46","0.5","43.5","53.2","33.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-11","208",,,"6",,,"0.24","51","2085","0.56",,"29.9","38.4","21.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1957-12","208","9","1","5","3","2.5","0.18","59","3113","0.58","3.6","31.8","41.4","22.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-01","0","29","4","-1","9","6.4","0.37","48","4311","0.82","13.1","26.4","36.8","15.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-02","0","28","8","3","14","2.3","0.18","57","5277","0.88","13.1","30.5","40.3","20.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-03","0","26","5","3","14","10.0","0.87","54","6384","1.52","18.4","29.3","37.7","20.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-04","0",,"4","22",,"4.0","0.43","68","7121","1.91","9.9","40.4","50.5","30.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-05","16","0","0","34","0","0.0","0.31","84","7309","0.37","0.0","59.5","73.8","45.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-06","29","0","0","40","0","0.0","0.62","91","7509","2.44","0.0","58.7","70.7","46.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-07","61","0","0","38","0","0.0","0.55","87","113","3.25","0.0","62.4","76.3","48.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-08","160","0","0","42","0","0.0","0.66","90","141","2.52","0.0","67.5","82.9","52.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-09","175",,"0","29",,"0.0","0.68","89","443","1.41","0.0","55.4","70.7","40.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-10","175","0","0","23","0","0.0","0.22","80","948","0.41","0.0","48.7","62.7","34.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-11","175","16","7","-8","12","5.0","0.35","64","1931","1.69","16.8","32.2","43.5","21.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1958-12","175","26","5","-8","5","3.0","0.23","55","3070","0.92","8.8","28.3","36.8","19.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-01","0","30","3","-23","7","4.8","0.31","56","4258","0.79","11.7","25.6","35.4","15.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-02","0","28","6","-11","14","7.0","0.24","49","5485","1.12","18.5","21.2","31.6","10.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-03","0","18","5","12","4","2.8","0.30","55","6447","1.57","11.1","34.0","43.1","24.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-04","0","3","2","9","4","5.5","0.52","71","7136","1.37","9.0","42.0","54.7","29.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-05","0","0","2","28","0","2.0","0.90","72","7717","4.08","3.5","46.2","57.6","34.8"
