Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1984,496,71,21,-36,9,3.7,0.5,105,8428,7.03,48.8,43.3,56,30.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1985,368,111,17,-33,10,8.6,1.12,102,9069,11.18,52.9,40.4,52.8,28.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1986,280,55,12,-30,10,5.4,1.95,97,8691,17.38,36.9,44.4,55.9,32.9
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1987,295,23,7,-19,8,6,1.92,100,7158,8.26,20.2,46.6,60.7,32.5
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1988,576,39,7,-28,7,6,0.59,103,7386,6.41,28.7,46.1,60.3,31.9
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1989,351,96,20,-45,13,7.4,1.16,100,8630,16.22,58,41.9,53.7,30.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1990,471,47,10,-37,7,4.1,0.65,103,7810,6.71,29.7,44.7,57.9,31.5
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1991,396,52,12,-35,11,8,1.37,102,7886,13.06,42.3,44.7,57.3,32.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1992,238,33,10,-30,6,4,1.41,97,7042,12.72,26,45.2,58.7,31.8
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1993,125,78,13,-27,9,3.4,1.7,100,8925,15.39,35.1,41.2,53.2,29.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1994,395,85,20,-44,18,6.2,1.1,100,8580,10.49,59,43.2,56.7,29.7
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1995,194,82,13,-23,6,4.5,1.54,95,8210,16.62,38.9,41.5,54.2,28.8
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1996,364,114,16,-41,10,6.1,1.23,100,9351,9.91,54.1,39.1,51.7,26.5
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1997,358,,,-41,,,0.55,101,9127,6.65,,43.8,57.3,30.3
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1998,598,56,11,-32,6,4.8,1.37,101,7692,11.19,29.9,45.5,59,32
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1999,301,,,-13,,,1.51,102,7445,11.67,,45.8,58.9,32.8
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2000,414,,,-30,,,0.96,102,7563,7.77,,42.9,57.3,28.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2001,748,,,-23,,,1.33,109,8219,6.97,,46.3,61.1,31.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2002,327,,,-27,,,1.38,98,8458,13.73,,42.1,55,29.2
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2003,649,,,-31,,,1,105,8103,9.84,,43.9,57.1,30.7
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2004,252,,,-33,,,1.06,103,8485,11.53,,43.1,55.8,30.5
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2005,330,50,12,-34,9,4.8,1.05,103,7897,11.22,32.3,43.9,57.8,30
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2006,564,43,10,-21,6,5,1.11,101,7382,8.65,32.7,46,59.7,32.4
