Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1978,301,135,27,-34,24,7.4,1.78,96,8589,23.06,90.4,40.8,54.7,27
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1979,290,,,-38,,,0.61,100,9212,7.83,,42.3,58.6,26
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1980,307,82,23,-31,12,9,1.47,101,7388,14.44,77.2,45.1,60.1,30.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1981,295,,,-23,,,1.82,102,6595,15.3,,47.3,62.6,31.9
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1982,310,,,-33,,,,99,7885,,,42.1,56.4,27.8
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1983,520,58,12,-47,9,9,1.17,102,7221,11.62,39.8,45.2,60,30.5
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1984,450,,,-22,,,0.44,102,7268,9.14,,45.4,59.8,30.9
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1985,339,,21,-33,,9.5,1.24,101,7569,11.56,62.7,42.5,57,28.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1986,298,,,-25,,,0.88,99,7391,15.18,,46.6,60.9,32.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1987,,20,10,-6,6,6,1.16,,6320,13.76,22.5,,,32.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1988,621,,,-21,,,,105,,,,47.5,63,32
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1989,363,,28,-44,,9.5,0.98,102,7491,18.17,100.6,43.2,57.4,29.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1990,405,52,13,-39,11,6,0.69,102,6862,9.38,39.3,46.3,61.7,30.9
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1991,440,57,13,-22,8,6,1.57,99,6872,17.3,37.5,46.7,60.9,32.5
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1992,,,,,,,,,6338,,,,,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1993,,,,,,,,,,,,,,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1994,427,,14,-26,,5,2,97,7220,14.67,41.4,46.1,61.1,31.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1995,,,,,,,,,7092,,,,,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1996,,,,,,,,,,,,,,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1997,,,,,,,,,,,,,,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1998,692,,11,-34,,4,1.23,102,,15.11,18.9,48.1,62.5,33.6
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1999,437,32,11,-8,8,6,0.6,105,6396,11.25,25,48.8,64,33.6
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2000,566,88,21,-21,8,7,1.22,105,6271,10.2,40,46.1,61.7,30.5
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2001,675,55,14,-19,3,3.5,1.68,105,7083,12.04,19.9,48.3,63.9,32.8
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2002,,51,14,,4,4,0.69,109,,9.08,29.6,,61.2,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2003,682,49,15,-21,10,7,1.02,105,6752,11.2,36.7,46.8,62.5,31.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2004,,55,5,,9,4,1.54,102,6990,10.38,14.3,,62.2,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2005,469,42,11,-35,7,6.7,1.44,106,,18.23,32,46.2,62.2,30.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2006,534,22,8,-21,5,4.8,1.21,104,6632,13.03,17.9,47.7,64.5,30.9
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2007,645,46,12,-21,7,6,1.66,106,6980,14.83,29.9,47.6,63.2,32
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2008,,47,14,,8,7.5,1.15,105,7135,15.3,42.8,,61.2,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2009,343,71,13,-27,5,3.3,1.32,99,,13,31.8,45,60.3,29.6
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2010,432,111,17,-34,17,6,1.09,102,7212,16.91,49.7,46.2,60.1,32.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2011,,66,13,,8,5.8,1.49,100,,18.75,35.2,,60.2,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2012,736,36,12,-12,8,5.3,0.76,102,6147,6.57,28.2,49,64.7,33.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2013,580,57,10,-31,7,6.6,1.21,97,6983,17.13,34.4,46.3,60.5,32.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2014,410,86,18,-28,14,6,1.37,98,7710,14.45,54.4,45.1,58.5,31.8
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2015,556,56,14,-23,8,6.7,0.66,100,6778,12.37,35.1,48.5,62.7,34.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2016,511,55,11,-30,10,7.5,2.06,99,6361,14.83,29.3,48.5,62.6,34.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2017,613,80,21,-24,12,5.7,1.09,101,7340,13.73,50.6,46.2,60.2,32.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2018,404,102,22,-29,20,6.5,0.91,100,8174,18.38,61.7,43.7,57.3,30.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",2019,417,79,23,-33,15,6.5,1.27,99,8260,19.3,57.8,42.8,56.2,29.4
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1949,225,,,-33,,,1.67,101,8889,12.77,,41.6,55.5,27.8
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1950,91,,,-40,,,0.79,92,9208,16.31,,39.5,52,27.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1951,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1952,187,,,-29,,,0.84,97,,9.77,,43.8,57.4,30.3
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1953,206,,,-10,,,1.17,100,7648,15.08,,45.2,58.8,31.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1954,166,,,-39,,,1.62,96,8061,15.63,,42.2,55.7,28.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1955,265,,,-32,,,0.9,99,8514,13.81,,39.7,52.6,26.8
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1956,226,,,-31,,,2.33,95,8871,10.03,,43.3,56,30.6
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1957,217,,,-33,,,1.68,95,8289,13.51,,42.3,54.2,30.4
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1958,225,,,-14,,,0.9,93,7553,11.65,,44.6,56.7,32.6
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1959,200,,29,-31,,8,0.84,93,8226,16.11,55.4,41.9,54.3,29.6
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1960,317,,,-27,,,0.66,99,8383,9.37,,43.2,56.1,30.4
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1961,390,,,-22,,,0.97,103,7158,12.56,,44.8,57.9,31.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1962,75,,,-28,,,1.67,89,8685,20.67,,42.7,55.4,30.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1963,303,,,-33,,,0.97,96,7808,16.01,,44.7,57.9,31.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1964,175,,,-31,,,2.1,97,7777,18.78,,41.8,54.4,29.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1965,125,,,-25,,,0.95,94,8907,17.67,,41.6,53.7,29.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1966,226,,,-27,,,0.66,99,8382,11.38,,42.6,56.2,29
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1967,249,,,-24,,,1.32,95,8267,18.18,,42.8,54.9,30.6
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1968,105,,,-41,,,0.89,93,7846,16.72,,42,54.6,29.3
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1969,201,,,-39,,,2.17,101,9048,14.25,,41.6,54.8,28.3
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1970,274,,,-18,,,1.18,99,8376,15.64,,41.3,54.4,28.3
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1971,312,,,-38,,,0.77,98,8677,13.2,,41.8,54.6,28.9
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1972,219,,,-34,,,1.68,93,8252,14.99,,41.5,53.7,29.4
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1973,230,,,-20,,,1.21,97,8184,15.39,,43.9,55.9,31.9
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1974,176,,,-23,,,1,94,7733,15.71,,43.7,56.1,31.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1975,128,145,40,-23,29,11.6,1.29,96,9219,22.5,113.1,39.7,51.3,28.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1976,212,,,-20,,,1.05,95,7785,15.35,,44.9,57.3,32.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1977,138,,31,-28,,10,0.59,92,7359,18.5,87,43.2,55.2,31.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1978,145,,39,-27,,16,1.55,92,8941,23.72,112.1,40.2,51.9,28.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1979,201,,,-26,,,3.01,96,9430,12.72,,42.3,55.1,29.6
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1980,152,107,30,-29,14,11,1.76,95,7593,18.83,85.3,43.4,55.6,31.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1981,183,,,-26,,,1.09,98,7422,18.95,,45.4,57.7,33.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1982,168,,34,-29,,19,1.22,91,8546,18.27,122,40.5,52.4,28.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1983,323,79,22,-37,12,5.5,1.86,101,7502,14.93,48.5,43.4,55.8,31.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1984,347,91,25,-29,20,12,0.68,97,8228,11.41,80.6,43,55.4,30.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1985,253,158,25,-27,16,12,3.02,96,8551,18.74,68.1,40.6,52.5,28.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1986,177,46,18,-22,11,10.5,1.4,94,8225,18.12,41.4,44.6,57.2,32
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1987,169,38,18,-12,13,10,1.5,93,7266,17.03,60,46,59.3,32.8
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1988,430,,,-20,,,,97,7386,,,45.3,58.7,31.9
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1989,188,117,48,-34,19,7.5,1.63,93,8150,20.7,112.8,41.5,53.3,29.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1990,268,,18,-35,,6.5,0.95,99,7759,11.14,43.1,44,57.3,30.8
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1991,268,69,22,-22,9,6,1.02,96,7691,17.6,62,44.2,57,31.4
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1992,147,,13,-25,,2,1.17,94,6738,13.91,23.3,45,58.4,31.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1993,41,,,-23,,,,89,8344,,,40.8,52.5,29.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1994,259,,28,-30,,5,1.77,94,8141,13.31,60.5,44.1,56.8,31.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1995,,64,22,,13,13,1.61,95,,20.02,59.1,,55,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1996,247,,27,-30,,6,1.12,97,,11.2,70.2,40.3,52.4,28.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1997,,40,18,,10,7,1.25,92,,16.86,43.5,,55.7,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1998,346,40,15,-26,5,5,1.27,95,6994,16.56,42.3,45.4,57.8,32.9
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",1999,216,42,20,-14,8,5,1.77,99,6816,13.65,43.7,46.1,58.3,33.8
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2000,,,23,-21,,5,0.99,97,,11.13,56.5,44.1,56.7,31.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2001,369,51,16,-9,3,3,0.88,102,7456,10.88,28,45.8,58.4,33
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2002,229,,25,-16,,5,1.85,99,7862,15.96,61.1,42.2,54.3,30.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2003,506,,27,-18,,7,0.96,101,7736,14.62,70.6,44.9,57.6,32.1
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2004,171,,9,-24,,8,1.04,98,7827,11.6,34.4,44.1,56.9,31.2
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2005,293,,20,-28,,5.5,0.79,96,7693,13.04,42.4,44.3,57.2,31.4
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2006,345,,11,-30,,3.5,1.26,98,7026,16.15,27.4,45.8,58.7,33
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2007,474,,16,-16,,7,1.06,101,7421,15.34,46.6,45.6,58.4,32.7
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2008,,,11,,,5,1.09,100,7684,12.5,36.5,,56.3,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2009,258,,22,-28,,6,1.11,94,,12.18,55.6,43.1,56.2,29.9
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2010,166,,21,-21,,6,0.86,98,8040,18.07,55.6,43.7,55.9,31.5
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2011,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2012,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2013,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2014,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2015,300,,,-13,,,1.25,98,7389,12.52,,45.7,59.4,32
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2016,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2017,,,,,,,,,7830,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2018,,,,,,,,,,,,,,
Moccasin,USC00245761,"MOCCASIN EXPERIMENT STATION, MT US",2019,,,,,,,,,,,,,,
Sidney,USC00247560,"SIDNEY, MT US",1949,,,,,,,,,,,,,,
Sidney,USC00247560,"SIDNEY, MT US",1950,187,,16,-42,,5.5,1.76,97,9694,18.47,40.2,37.2,49.9,24.6
Sidney,USC00247560,"SIDNEY, MT US",1951,286,,6,-35,,8.5,0.61,100,9951,9.22,25.4,37.4,50.3,24.6
Sidney,USC00247560,"SIDNEY, MT US",1952,329,,8,-28,,4,1.09,99,9505,8.48,18.5,42.5,56,28.9
Sidney,USC00247560,"SIDNEY, MT US",1953,328,,12,-23,,3,1.91,95,8289,20.58,18.2,44.3,56.9,31.7
Sidney,USC00247560,"SIDNEY, MT US",1954,293,,13,-40,,5,1.31,97,8335,13.47,25.9,42.4,55.2,29.6
Sidney,USC00247560,"SIDNEY, MT US",1955,388,,13,-30,,2,1.57,99,8203,13.15,21.7,40.1,53.3,26.9
Sidney,USC00247560,"SIDNEY, MT US",1956,293,,,-24,,,1.27,100,9598,11.06,,41.1,54.9,27.4
Sidney,USC00247560,"SIDNEY, MT US",1957,357,,9,-36,,2,1.03,98,9036,13.65,13.8,41.6,54.3,28.9
Sidney,USC00247560,"SIDNEY, MT US",1958,272,,16,-25,,5,0.99,102,8041,10.92,36.6,42.6,55.8,29.5
Sidney,USC00247560,"SIDNEY, MT US",1959,340,,,-42,,,1.51,99,9119,11.45,,40.6,53.5,27.8
Sidney,USC00247560,"SIDNEY, MT US",1960,358,,,-25,,,1.86,102,9052,11.18,,41.5,55.1,28
Sidney,USC00247560,"SIDNEY, MT US",1961,458,,7,-23,,4,1.28,98,7956,9.8,18.3,43.2,56.9,29.4
Sidney,USC00247560,"SIDNEY, MT US",1962,207,,,-42,,,1.81,94,9188,18.86,,42.3,55.4,29.1
Sidney,USC00247560,"SIDNEY, MT US",1963,353,,12,-31,,5,0.85,99,8126,14.24,26.5,43.6,57.1,30.1
Sidney,USC00247560,"SIDNEY, MT US",1964,389,,22,-26,,7,1.52,101,7754,16.09,51.9,42,55.2,28.8
Sidney,USC00247560,"SIDNEY, MT US",1965,277,113,17,-33,21,4,1.22,97,10125,16.67,34.3,39.4,51.9,27
Sidney,USC00247560,"SIDNEY, MT US",1966,338,106,12,-33,8,3,0.95,102,9286,8.49,25.8,40.4,53.8,26.9
Sidney,USC00247560,"SIDNEY, MT US",1967,312,111,30,-36,8,6,1.6,94,8975,15.15,65.5,41.4,54.3,28.5
Sidney,USC00247560,"SIDNEY, MT US",1968,221,81,15,-34,12,7,1.92,99,8462,13.48,42.4,41.7,54.7,28.8
Sidney,USC00247560,"SIDNEY, MT US",1969,375,105,14,-36,17,4,1.92,100,9461,15.13,33.1,41,53.8,28.3
Sidney,USC00247560,"SIDNEY, MT US",1970,492,108,19,-39,9,9,0.95,97,8738,15.45,50.2,41,53.1,28.9
Sidney,USC00247560,"SIDNEY, MT US",1971,411,99,18,-31,11,3,2.52,100,9022,15.44,35.8,41.4,53.8,29
Sidney,USC00247560,"SIDNEY, MT US",1972,316,108,22,-31,17,5,1.16,99,9218,18.02,60.8,39.9,51.7,28.1
Sidney,USC00247560,"SIDNEY, MT US",1973,388,82,12,-30,8,4,2.97,97,8380,15.55,31.9,44,56.7,31.2
Sidney,USC00247560,"SIDNEY, MT US",1974,359,59,16,-35,8,5,1.56,100,8595,12.94,31.1,43.2,56.5,30
Sidney,USC00247560,"SIDNEY, MT US",1975,361,81,25,-25,19,8,1.16,100,8655,16.67,68.8,41.4,53.8,29.1
Sidney,USC00247560,"SIDNEY, MT US",1976,465,100,19,-32,19,4,2.39,100,8128,14.38,40.7,43.9,57.6,30.3
Sidney,USC00247560,"SIDNEY, MT US",1977,381,93,19,-37,12,4,1.55,98,8072,10.8,42.7,43.2,56,30.4
Sidney,USC00247560,"SIDNEY, MT US",1978,362,132,14,-31,15,5,1.31,99,9274,18.07,40.3,40.5,52.8,28.2
Sidney,USC00247560,"SIDNEY, MT US",1979,389,115,18,-35,25,10,0.64,102,10006,10.96,57.3,40.3,53.3,27.2
Sidney,USC00247560,"SIDNEY, MT US",1980,439,71,,-32,10,,1.58,102,7930,11.91,,44.3,58.2,30.4
Sidney,USC00247560,"SIDNEY, MT US",1981,517,46,12,-21,5,2,1.29,103,6999,12.67,16.9,47.4,61.4,33.5
Sidney,USC00247560,"SIDNEY, MT US",1982,422,116,23,-35,19,5,,97,8772,,54.1,40.7,54.2,27.2
Sidney,USC00247560,"SIDNEY, MT US",1983,739,90,11,-40,10,13,0.95,102,7698,7.91,31.1,44.7,57.8,31.5
Sidney,USC00247560,"SIDNEY, MT US",1984,639,64,,-29,13,,1.37,102,8053,10.21,,44.5,58.2,30.7
Sidney,USC00247560,"SIDNEY, MT US",1985,411,102,18,-27,12,9,0.95,98,8388,11.35,56.6,42.1,55.6,28.5
Sidney,USC00247560,"SIDNEY, MT US",1986,438,102,16,-35,16,9,1.83,98,8223,18.44,51.9,45.6,58.3,32.8
Sidney,USC00247560,"SIDNEY, MT US",1987,519,12,8,-9,2,4,2.46,97,6889,14.2,17.4,48.6,62.2,35
Sidney,USC00247560,"SIDNEY, MT US",1988,981,68,,-29,10,,,106,7333,,,46.5,61.9,31.2
Sidney,USC00247560,"SIDNEY, MT US",1989,643,95,18,-34,15,5,1.75,104,8357,12.12,37.6,43.6,57.5,29.8
Sidney,USC00247560,"SIDNEY, MT US",1990,623,26,8,-29,7,6,0.79,101,7375,10.59,21.5,46.4,61.1,31.7
Sidney,USC00247560,"SIDNEY, MT US",1991,713,37,14,-22,5,3,2.92,100,7233,21.02,25.9,47,60,33.9
Sidney,USC00247560,"SIDNEY, MT US",1992,,,,,,,,,6820,,,,,
Sidney,USC00247560,"SIDNEY, MT US",1993,183,94,13,-25,9,4,2.37,93,,20.46,28.5,42.7,55.7,29.6
Sidney,USC00247560,"SIDNEY, MT US",1994,469,99,12,-30,14,3,1.88,101,8228,13.46,28.7,44,58.2,29.7
Sidney,USC00247560,"SIDNEY, MT US",1995,573,82,10,-21,12,8,1.05,105,7685,15.61,28.9,43.6,57.6,29.7
Sidney,USC00247560,"SIDNEY, MT US",1996,497,116,24,-35,14,7.5,1.3,100,8668,15.23,55.5,40.2,53.8,26.6
Sidney,USC00247560,"SIDNEY, MT US",1997,511,85,10,-36,15,4,2.15,95,9089,14.34,18.4,44.7,59.2,30.1
Sidney,USC00247560,"SIDNEY, MT US",1998,704,,11,-28,,6,1.36,100,6974,17.5,41.6,46.9,59.8,34
Sidney,USC00247560,"SIDNEY, MT US",1999,437,74,15,-23,12,3.5,1.34,98,7006,14.51,28.2,47.1,60.1,34.1
Sidney,USC00247560,"SIDNEY, MT US",2000,572,103,15,-21,10,7,1.6,102,6773,14.41,37.6,44.8,57.8,31.8
Sidney,USC00247560,"SIDNEY, MT US",2001,675,85,8,-19,7,5,2.33,101,8179,15.35,17.1,46.3,58.9,33.7
Sidney,USC00247560,"SIDNEY, MT US",2002,658,64,13,-23,9,8,0.86,104,7824,12.11,35.6,44.8,57.1,32.4
Sidney,USC00247560,"SIDNEY, MT US",2003,764,101,19,-23,9,4,1.48,100,7812,14.07,40.4,45.2,57.8,32.5
Sidney,USC00247560,"SIDNEY, MT US",2004,377,86,12,-27,21,5,1.37,99,7971,11.27,31.1,44.7,57.5,31.9
Sidney,USC00247560,"SIDNEY, MT US",2005,619,63,12,-35,10,5,1.22,99,7193,15.06,30.9,46.4,58.8,34.1
Sidney,USC00247560,"SIDNEY, MT US",2006,,,,,,,,,6806,,,,,
Sidney,USC00247560,"SIDNEY, MT US",2007,804,58,8,-21,6,5,1.78,107,,14.29,22,47,60.1,33.9
Sidney,USC00247560,"SIDNEY, MT US",2008,596,49,12,-25,13,7,0.88,100,7724,10.37,35.3,44.6,58.3,31
Sidney,USC00247560,"SIDNEY, MT US",2009,418,97,8,-27,12,6,2.74,96,8244,14.63,24.4,43.1,55.6,30.5
Sidney,USC00247560,"SIDNEY, MT US",2010,451,,19,-31,,7,1.35,98,8300,21.62,41.8,43.2,55,31.4
Sidney,USC00247560,"SIDNEY, MT US",2011,556,,,-31,,,2.42,97,8807,19,,44.1,56.2,32.1
Sidney,USC00247560,"SIDNEY, MT US",2012,417,,,-18,,,,100,6443,,,45.9,59.4,32.5
Sidney,USC00247560,"SIDNEY, MT US",2013,492,,,-28,,,,95,8350,21.7,,43.1,54.6,31.7
Sidney,USC00247560,"SIDNEY, MT US",2014,,,,,,,,,,,,,,
Sidney,USC00247560,"SIDNEY, MT US",2015,,,,,,,,,,,,,,
Sidney,USC00247560,"SIDNEY, MT US",2016,,,,,,,,,,17.15,,,,
Sidney,USC00247560,"SIDNEY, MT US",2017,,,16,,,5,,,,11.54,35.7,,,
Sidney,USC00247560,"SIDNEY, MT US",2018,,,,,,,,,,16.45,,,,
Sidney,USC00247560,"SIDNEY, MT US",2019,510,,,-35,,,,95,,24.13,,42.1,54.2,30.1
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1949,,,,,,,,,,,,,,
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1950,104,121,27,-38,16,10.9,0.75,94,8819,20.11,70.9,41.3,52.1,30.4
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1951,114,100,37,-22,30,9.5,1.59,95,8297,21.93,115.4,40.7,51.8,29.7
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1952,104,126,17,-17,25,4.4,0.54,94,8574,11.19,47.2,43.5,56.2,30.8
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1953,123,42,14,8,9,7.4,0.84,97,7450,14.67,40.4,45.7,57.3,34.1
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1954,64,73,13,-22,16,5.8,0.99,91,7835,15.33,49.8,42.6,53.4,31.9
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1955,155,145,32,-17,16,5,1.15,96,8633,16.93,87.2,40.1,51.1,29.1
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1956,129,119,17,-25,24,4.5,1.8,91,8786,17.11,53.9,42.7,53.7,31.6
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1957,108,94,23,-28,22,5.4,0.86,92,8407,12.48,64.3,42.3,53.7,31
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1958,271,121,24,-9,15,6.1,1.35,95,7361,18.05,65,45.4,56.5,34.4
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1959,129,139,20,-28,24,8.6,0.9,97,8131,21.02,83.2,41.3,52.3,30.3
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1960,204,120,24,-29,15,8.5,0.84,104,9310,14.26,75.3,41.1,53.5,28.7
Kalispell,USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1961,335,78,23,-14,17,8.6,0.74,105,7705,16.45,79.4,43.9,55.8,32.1
